"Treatment_Scenario","Scenario","Beta","Method1","Method2","N_Sims","Mean_Delta","SD_Delta","MC_CI_Lo","MC_CI_Hi","Pct_Sims_Sig","Pct_Sims_Method1_Wins","Pct_Sims_Method2_Wins","Pct_Sims_Tie","Overall_Winner"
"RCT",1,2,"Dandl Extension","R-learner (LASSO)",50,0.00239639661909569,0.0629361713052404,-0.015048620037551,0.0198414132757423,10,6,4,90,"Tie"
"RCT",1,2,"Dandl Extension","WATCH (Residual LASSO)",50,0.00585025725816805,0.0681990552141093,-0.0130535563914976,0.0247540709078337,8,0,8,92,"Tie"
"RCT",1,2,"Dandl Extension","WATCH (Residual Risk)",50,0.00699872484756737,0.0669270889092839,-0.0115525177302618,0.0255499674253966,8,0,8,92,"Tie"
"RCT",1,2,"R-learner (LASSO)","WATCH (Residual LASSO)",50,0.00345386063907236,0.0685888611678538,-0.0155580017084233,0.022465722986568,16,10,6,84,"Tie"
"RCT",1,2,"R-learner (LASSO)","WATCH (Residual Risk)",50,0.00460232822847169,0.0662520971474553,-0.0137618161785602,0.0229664726355036,16,10,6,84,"Tie"
"RCT",1,2,"WATCH (Residual LASSO)","WATCH (Residual Risk)",50,0.00114846758939933,0.0103545333535381,-0.00172166262472182,0.00401859780352048,8,4,4,92,"Tie"
"RCT",2,0,"DINA Cross-Fit","DINA Gao (GLM k2)",50,-0.264547194978,0.101832824888296,-0.292773813940151,-0.236320576015848,88,88,0,12,"DINA Cross-Fit"
"RCT",2,0,"DINA Cross-Fit","DINA Gao (LASSO k2)",50,0.00897776679463603,0.0363729143632819,-0.0011042906892993,0.0190598242785714,18,8,10,82,"Tie"
"RCT",2,0,"DINA Cross-Fit","Dandl Extension",50,-0.0320341151824965,0.0587500478933562,-0.0483187976285838,-0.0157494327364093,22,20,2,78,"DINA Cross-Fit"
"RCT",2,0,"DINA Cross-Fit","R-learner (LASSO)",50,0.0101193035806704,0.0454145903684641,-0.00246897862655487,0.0227075857878957,14,6,8,86,"Tie"
"RCT",2,0,"DINA Cross-Fit","WATCH (Residual LASSO)",50,-0.0294700646350219,0.0659395743678363,-0.0477475821471702,-0.0111925471228736,12,10,2,88,"DINA Cross-Fit"
"RCT",2,0,"DINA Cross-Fit","WATCH (Residual Risk)",50,-0.0288128156202307,0.0650643706283077,-0.0468477390327159,-0.0107778922077455,10,10,0,90,"DINA Cross-Fit"
"RCT",2,0,"DINA Gao (GLM k2)","DINA Gao (LASSO k2)",50,0.273524961772636,0.0995222161817439,0.245938810867832,0.301111112677439,88,0,88,12,"DINA Gao (LASSO k2)"
"RCT",2,0,"DINA Gao (GLM k2)","Dandl Extension",50,0.232513079795503,0.0981621113227044,0.205303930723329,0.259722228867677,80,0,80,20,"Dandl Extension"
"RCT",2,0,"DINA Gao (GLM k2)","R-learner (LASSO)",50,0.27466649855867,0.0931023620357585,0.248859840435002,0.300473156682338,86,0,86,14,"R-learner (LASSO)"
"RCT",2,0,"DINA Gao (GLM k2)","WATCH (Residual LASSO)",50,0.235077130342978,0.117091414778438,0.202621046046822,0.267533214639133,76,0,76,24,"WATCH (Residual LASSO)"
